title,year_of_publication,age_at_publication,YA,number_of_words,mean_ttr_5000token_samples,TTR_sig_inbook_variation,indefinite_word_rate,mean_max_repphrasetype_5000token_samples,rep_sig_inbook_variation
The Color Of Magic,1983.0,35.58,False,66492,0.29552307692307694,False,0.0030680382602418337,0.08064615384615384,False
The Light Fantastic,1986.0,38.1,False,45998,0.2714444444444444,True,0.005239358232966651,0.08968888888888889,True
Equal Rites,1987.0,38.72,False,67372,0.27555384615384615,False,0.005091135783411506,0.0872923076923077,False
Mort,1987.51,39.5,False,73987,0.28097142857142854,False,0.004216957032992283,0.08545714285714286,False
Sourcery,1988.0,40.08,False,79536,0.28195999999999993,True,0.004802856568094951,0.08546666666666666,False
Wyrd Sisters,1988.0,40.54,False,86320,0.2737058823529412,False,0.004355885078776645,0.08748235294117646,True
Pyramids,1989.0,41.13,False,88272,0.27912941176470585,False,0.004078303425774877,0.0898,False
Guards! Guards!,1989.0,41.53,False,99811,0.2751263157894737,False,0.005350111711134043,0.0890736842105263,False
Eric,1990.0,42.3,False,34887,0.2695,False,0.006506721701493393,0.08986666666666666,False
Moving Pictures,1990.0,42.51,False,98721,0.26391578947368416,False,0.006037215992544646,0.09218947368421053,False
Reaper Man,1991.0,43.07,False,79450,0.26808000000000004,False,0.005538074260541221,0.08962666666666666,False
Witches Abroad,1991.0,43.53,False,82667,0.25327500000000003,False,0.005637074044056274,0.093025,False
Small Gods,1992.0,44.06,False,92911,0.2546333333333333,True,0.005263101247430337,0.09522222222222224,False
Lords and Ladies,1992.0,44.52,False,90060,0.2569333333333333,False,0.005962691538974017,0.09169999999999999,False
Men at Arms,1993.0,45.54,False,95934,0.2582,True,0.0052014926928930305,0.0901157894736842,True
Soul Music,1994.0,46.06,False,96489,0.25643157894736845,True,0.005824498129320441,0.0925578947368421,False
Interesting Times,1994.0,46.52,False,94671,0.2661555555555556,True,0.0054927063197811364,0.08900000000000001,False
Maskerade,1995.0,47.52,False,87216,0.25870588235294123,False,0.004597780223812144,0.08940000000000001,False
Feet of Clay,1996.0,48.08,False,96225,0.2620736842105263,True,0.005029877890361132,0.0869157894736842,False
Hogfather,1996.0,48.51,False,95986,0.2606210526315789,True,0.0059487841976954975,0.08940000000000002,False
Jingo,1997.0,49.53,False,107027,0.26144761904761904,True,0.004914647705719118,0.08925714285714285,False
The Last Continent,1998.0,50.01,False,96106,0.2600526315789473,False,0.005483528603833268,0.0880421052631579,False
Carpe Jugulum,1998.0,50.52,False,100517,0.26155999999999996,False,0.004894694429797944,0.08591,False
The Fifth Elephant,1999.0,51.52,False,110059,0.2605636363636364,False,0.005142696190225243,0.08652727272727274,True
The Truth,2000.0,52.52,False,106800,0.2582190476190476,True,0.005374531835205992,0.09048571428571428,True
Thief of Time,2001.0,53.01,False,103809,0.25817,True,0.004826171141230529,0.09074,False
The Last Hero,2001.0,53.47,False,40549,0.26095,True,0.0054255345384596415,0.08995,False
Night Watch,2002.0,54.53,False,117065,0.2544086956521739,False,0.004288215948404732,0.09178260869565216,False
Monstrous Regiment,2003.0,55.43,False,118881,0.2566782608695652,True,0.0038105332222979284,0.08725217391304349,False
Going Postal,2004.0,56.43,False,119443,0.25914782608695647,False,0.00442889076798138,0.09046956521739129,False
Thud!,2005.0,57.41,False,112323,0.2592272727272727,False,0.004237778549362107,0.08838181818181817,False
Making Money,2007.0,59.41,False,114803,0.26627272727272727,False,0.003806520735520849,0.08674545454545454,False
Unseen Academicals,2009.0,61.45,False,137877,0.25449629629629633,True,0.0044097275107523376,0.09325185185185186,True
Snuff,2011.0,63.46,False,133121,0.2593615384615384,False,0.004003876172805192,0.09123846153846155,False
Raising Steam,2013.0,65.49,False,126107,0.26899999999999996,False,0.003838010578318412,0.08668800000000002,False
