title,year_of_publication,age_at_publication,YA,number_of_words,spatial_preprate,num_rate,func_rate,color_rate,form_rate
The Color Of Magic,1983,35.58,False,66492,0.01839319015821452,0.00745954400529387,0.5157612945918306,0.003444023341153823,0.0014137039042290802
The Light Fantastic,1986,38.1,False,45998,0.016392017044219314,0.006130701334840645,0.5334144962824471,0.0023479281707900345,0.001239184312361407
Equal Rites,1987,38.72,False,67372,0.017485008608917652,0.004363830671495577,0.5376862791664193,0.002434245680698213,0.0012171228403491064
Mort,1987,39.51,False,73987,0.01721924121805182,0.006028086015110763,0.5363374646897427,0.0025815345939151474,0.0015678429994458486
Sourcery,1988,40.08,False,79536,0.01665912291289479,0.0061230134781734055,0.5386743110038221,0.0026780325890162944,0.001244719372359686
Wyrd Sisters,1988,40.54,False,86320,0.014851714550509732,0.006255792400370714,0.5419601482854495,0.0017029657089898053,0.0006139944392956441
Pyramids,1989,41.13,False,88272,0.014840493021569694,0.008292550299075585,0.5441363059633859,0.0015633496465470365,0.0011215334420880913
Guards! Guards!,1989,41.53,False,99811,0.014046547975674024,0.007023273987837012,0.5341094668924267,0.0013826131388323933,0.0007313823125707587
Eric,1990,42.3,False,34887,0.014532633932410353,0.00601943417318772,0.5512081864304755,0.0015478545016768424,0.0011752228623842693
Moving Pictures,1990,42.51,False,98721,0.015082910424327144,0.006918487454543613,0.5343847813535114,0.0017625429239979335,0.0009319192471713212
Reaper Man,1991,43.07,False,79450,0.01762114537444934,0.007778477029578351,0.534864694776589,0.002001258653241032,0.0009314033983637508
Witches Abroad,1991,43.53,False,82667,0.014745908282627892,0.006229813589461333,0.5359333228495047,0.002346764730787376,0.0007137067995693566
Small Gods,1992,44.06,False,92911,0.013572128165663914,0.008416656800594117,0.550150143685893,0.00150681835304754,0.0010440098588972242
Lords and Ladies,1992,44.52,False,90060,0.014645791694425939,0.006717743726404619,0.5519986675549634,0.0015101043748612037,0.0016433488785254275
Men at Arms,1993,45.54,False,95934,0.01378030729459837,0.007150749473596431,0.5356390852044114,0.0014801842933683574,0.000781787478891738
Soul Music,1994,46.06,False,96489,0.013918685031454364,0.007959456518359605,0.5416161427727513,0.0019484086268901119,0.0013369399620682151
Interesting Times,1994,46.52,False,94671,0.01137623982000824,0.009348163640396742,0.5417604123754899,0.0023766517729822225,0.0013414878896388545
Maskerade,1995,47.52,False,87216,0.01463034305631994,0.006902403228765364,0.5442006053935058,0.0017084021280498992,0.0009057971014492754
Feet of Clay,1996,48.08,False,96225,0.013634710314367368,0.006152247336970642,0.5395687191478306,0.0016939464796050922,0.000924915562483762
Hogfather,1996,48.51,False,95986,0.013960369220511325,0.005292438480611756,0.5464234367511929,0.0035734377930114808,0.0014064551080365886
Jingo,1997,49.53,False,107027,0.012893942649985517,0.006792678482999617,0.5452082184869239,0.00129873770170144,0.0014108589421360964
The Last Continent,1998,50.01,False,96106,0.014119826025430254,0.005868520175639398,0.5487170415999001,0.002694941002642915,0.0014671300439098496
Carpe Jugulum,1998,50.52,False,100517,0.014843260344021409,0.005551299780136693,0.5496781638926749,0.0024075529512420785,0.000984908025508123
The Fifth Elephant,1999,51.52,False,110059,0.014701205716933645,0.00646017136263277,0.5455437538047775,0.0014628517431559437,0.0007904851034445161
The Truth,2000,52.52,False,106800,0.0124438202247191,0.007181647940074906,0.5373220973782772,0.0014232209737827714,0.000749063670411985
Thief of Time,2001,53.01,False,103809,0.013264745831286305,0.007590863990598118,0.5452610081977478,0.003737633538517855,0.00073211378589525
The Last Hero,2001,53.47,False,40549,0.01289797528915633,0.00663394904929838,0.542208192557153,0.0012577375520974622,0.0008384917013983083
Night Watch,2002,54.53,False,117065,0.014667065305599454,0.005988126254644855,0.5494810575321403,0.0014009311066501516,0.00117883227266903
Monstrous Regiment,2003,55.43,False,118881,0.012735424500130382,0.005778888131829308,0.5438884262413675,0.0014552367493543964,0.0007234124881183705
Going Postal,2004,56.43,False,119443,0.013002017698818683,0.007953584554976014,0.5391274499133478,0.0014651339969692656,0.000770241872692414
Thud!,2005,57.41,False,112323,0.014458303286058955,0.007086705305235793,0.5390258451074135,0.0012820170401431586,0.0012196967673584217
Making Money,2007,59.41,False,114803,0.012020591796381628,0.007604330897276203,0.5451861014084998,0.002212485736435459,0.0007491093438324782
Unseen Academicals,2009,61.45,False,137877,0.01136520231800808,0.005976341231677509,0.5629147718618769,0.0009863864168788122,0.0008050653843643248
Snuff,2011,63.46,False,133121,0.011508327010764643,0.005273397886133668,0.5587548170461459,0.0010366508665049091,0.0005483732844554954
Raising Steam,2013,65.49,False,126107,0.011165121682380836,0.00380629148262983,0.5531572394871023,0.0006105925920052019,0.0007374689747595296
