title,year_of_publication,age_at_publication,YA,propositional_idea_density,mean_propositional_rep_idea_density_100p,DEPIDR_sig_internalvar
The Color Of Magic,1983,35.58,False,0.5111896525793352,0.45928335380201313,False
The Light Fantastic,1986,38.1,False,0.4954551385204193,0.4349657869233236,False
Equal Rites,1987,38.72,False,0.4939955764691911,0.4344293473428934,False
Mort,1987,39.51,False,0.4986606780486485,0.44122293011009867,False
Sourcery,1988,40.08,False,0.5017615380743873,0.44536179648893703,False
Wyrd Sisters,1988,40.54,False,0.492451648810352,0.4314733224207811,False
Pyramids,1989,41.13,False,0.4967409170775945,0.43374580781691247,False
Guards! Guards!,1989,41.53,False,0.4868302363341151,0.4254707157708284,False
Eric,1990,42.3,False,0.4865469565716253,0.4213793897860038,False
Moving Pictures,1990,42.51,False,0.4794306684779303,0.4171826889212339,False
Reaper Man,1991,43.07,False,0.4774417139256459,0.4226951665261429,False
Witches Abroad,1991,43.53,False,0.48476440868943627,0.4175379222130694,False
Small Gods,1992,44.06,False,0.48434469680644743,0.4210454099761258,False
Lords and Ladies,1992,44.52,False,0.4769962864957417,0.41871114509003254,False
Men at Arms,1993,45.54,False,0.474990872581234,0.4149310328609994,False
Soul Music,1994,46.06,False,0.4758781715353085,0.4162852330170105,False
Interesting Times,1994,46.52,False,0.4782783545522854,0.41906724857744476,False
Maskerade,1995,47.52,False,0.4765079073188672,0.42135408172814737,False
Feet of Clay,1996,48.08,False,0.46864308962533924,0.4131936327906933,False
Hogfather,1996,48.51,False,0.47260266817103874,0.4128010784903881,False
Jingo,1997,49.53,False,0.4796332200024352,0.4224426776759408,False
The Last Continent,1998,50.01,False,0.48321426709078585,0.4210361680061082,False
Carpe Jugulum,1998,50.52,False,0.4838770808190622,0.423533836442855,False
The Fifth Elephant,1999,51.52,False,0.4827825009340003,0.42726583930059675,False
The Truth,2000,52.52,False,0.47350154769721414,0.4104509506141389,True
Thief of Time,2001,53.01,False,0.4738933742319453,0.4116913350507428,False
The Last Hero,2001,53.47,False,0.475746360720454,0.41246684629251107,True
Night Watch,2002,54.53,False,0.47953051402388464,0.41645641488795104,False
Monstrous Regiment,2003,55.43,False,0.4831567680547479,0.42048445582590743,True
Going Postal,2004,56.43,False,0.47738630265629195,0.4111640678681913,True
Thud!,2005,57.41,False,0.4783798479324699,0.4144242391203835,False
Making Money,2007,59.41,False,0.48012624347204425,0.4171418491205243,False
Unseen Academicals,2009,61.45,False,0.4836944690361813,0.4104170395515456,True
Snuff,2011,63.46,False,0.4885433100443242,0.4063743750379632,False
Raising Steam,2013,65.49,False,0.4874783630560099,0.4158717462729588,False
